Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
15246	15247	b1124	b1125	potC	potB	TRUE	0.998	-3.000	0.286	0.064	Y	0.798
15247	15248	b1125	b1126	potB	potA	TRUE	0.998	14.000	0.789	1.000	Y	0.834
15250	15251	b1128	b1129	ycfD	phoQ	FALSE	0.539	76.000	0.408	NA		0.317
15251	15252	b1129	b1130	phoQ	phoP	TRUE	0.998	0.000	0.940	1.000	Y	0.535
15252	15253	b1130	b1131	phoP	purB	FALSE	0.004	169.000	0.011	1.000	N	-0.104
15253	15254	b1131	b1132	purB	hflD	TRUE	0.987	4.000	0.093	NA		0.707
15254	15255	b1132	b1133	hflD	ycfB	TRUE	0.954	36.000	0.180	NA		0.847
15255	15256	b1133	b1134	ycfB	ymfB	TRUE	0.799	54.000	0.158	1.000	N	0.497
15256	15257	b1134	b1135	ymfB	ymfC	TRUE	0.977	10.000	0.182	1.000	N	0.486
15259	15260	b1137	b1138	ymfD	ymfE	TRUE	0.994	1.000	1.000	NA		0.485
15262	15263	b1140	b1141	intE	ymfG	TRUE	0.993	-19.000	0.400	0.010		0.860
15266	15267	b1144	b1145	ymfJ	ymfK	FALSE	0.003	175.000	0.000	NA		0.162
15268	15269	b1146	b1147	b1146	ymfL	TRUE	0.905	44.000	0.000	NA		0.846
15269	15270	b1147	b1148	ymfL	ymfM	TRUE	0.985	-3.000	0.000	NA		0.861
15270	7497344	b1148	b4692	ymfM	oweE	TRUE	0.845	10.000	0.000	NA		NA
7497344	7497345	b4692	b4693	oweE	aaaE	TRUE	0.867	1.000	0.000	NA		NA
7497345	15272	b4693	b1150	aaaE	ymfR	TRUE	0.817	12.000	0.000	NA		NA
15272	15273	b1150	b1151	ymfR	ymfO	TRUE	0.969	0.000	0.000	NA		0.506
15273	15274	b1151	b1152	ymfO	ymfP	TRUE	0.983	1.000	0.000	NA		0.648
15274	15275	b1152	b1153	ymfP	ymfQ	TRUE	0.968	-9.000	0.000	NA		0.665
15275	15276	b1153	b1154	ymfQ	ycfK	TRUE	0.969	4.000	0.000	NA		0.509
15276	15277	b1154	b1155	ycfK	ymfS	TRUE	0.792	2.000	0.000	NA		0.285
15278	5752726	b1156	b1157	tfaE	stfE	TRUE	0.900	0.000	0.000	NA		0.367
15280	15281	b1158	b1159	pin	mcrA	FALSE	0.007	107.000	0.000	1.000		0.159
15281	1936422	b1159	b4519	mcrA	icdC	FALSE	0.036	234.000	0.000	NA		0.314
15282	15283	b1160	b1161	elbA	ycgX	FALSE	0.001	700.000	0.000	NA		0.135
15283	15284	b1161	b1162	ycgX	ycgE	FALSE	0.026	221.000	0.000	NA		0.279
15284	15285	b1162	b1163	ycgE	ycgF	FALSE	0.466	205.000	0.333	1.000	N	0.550
15286	15287	b1164	b1165	ycgZ	ymgA	TRUE	0.909	43.000	0.000	NA		0.851
15287	15288	b1165	b1166	ymgA	ymgB	TRUE	0.946	29.000	0.000	NA		0.800
15288	15289	b1166	b1167	ymgB	ymgC	TRUE	0.623	113.000	0.000	NA		0.786
15289	15290	b1167	b1168	ymgC	b1168	FALSE	0.027	332.000	0.000	NA		0.330
15290	1936424	b1168	b4520	b1168	ymgF	FALSE	0.490	132.000	0.000	NA		0.613
1936424	1936425	b4520	b4491	ymgF	ycgH	FALSE	0.079	400.000	0.000	NA		0.464
15293	15294	b1171	b1172	b1171	ymgG	TRUE	0.982	10.000	0.000	NA		0.707
15294	3446170	b1172	b4593	ymgG	ymgI	TRUE	0.985	2.000	0.000	NA		0.702
3446171	1936428	b4594	b4521	ymgJ	ycgI	FALSE	0.503	115.000	0.000	NA		0.590
15296	15297	b1174	b1175	minE	minD	TRUE	0.998	4.000	0.618	NA	Y	0.721
15297	15298	b1175	b1176	minD	minC	TRUE	0.994	24.000	0.466	1.000	Y	0.779
15301	15302	b1179	b1180	ycgL	ycgM	TRUE	0.593	72.000	0.056	NA		0.508
15302	15303	b1180	b1181	ycgM	ycgN	FALSE	0.343	77.000	0.088	NA		0.378
15305	15306	b1183	b1184	umuD	umuC	TRUE	0.987	0.000	0.000	1.000	N	0.751
15307	15308	b1185	b1186	dsbB	nhaB	TRUE	0.638	146.000	0.723	1.000	N	0.433
15311	15312	b1189	b1190	dadA	dadX	TRUE	0.991	10.000	0.168	1.000	N	0.876
15313	15314	b1191	b1192	b1191	ldcA	FALSE	0.027	95.000	0.103	NA	N	0.150
15317	15318	b1195	b1196	ymgE	ycgY	FALSE	0.268	178.000	0.000	NA		0.509
15319	15320	b1197	b1198	treA	dhaM	FALSE	0.001	320.000	0.000	1.000		0.081
15320	15321	b1198	b1199	dhaM	dhaL	TRUE	0.988	11.000	0.118	1.000		0.823
15321	15322	b1199	b1200	dhaL	b1200	TRUE	0.998	11.000	0.226	0.001	Y	0.721
15324	15325	b1202	b1203	ycgV	ychF	FALSE	0.001	769.000	0.000	1.000	N	-0.067
15325	15326	b1203	b1204	ychF	pth	TRUE	0.753	117.000	0.184	1.000	Y	0.500
15328	15329	b1206	b1207	ychM	prsA	FALSE	0.006	125.000	0.027	1.000	N	-0.045
15329	15330	b1207	b1208	prsA	ispE	FALSE	0.441	151.000	0.053	1.000	N	0.594
15330	15331	b1208	b1209	ispE	lolB	TRUE	0.986	0.000	0.157	1.000	N	0.587
15332	15333	b1210	b1211	hemA	prfA	TRUE	0.954	42.000	0.171	0.048	N	0.725
15333	15334	b1211	b1212	prfA	prmC	TRUE	0.998	0.000	0.229	0.048	Y	0.783
15334	15335	b1212	b1213	prmC	ychQ	TRUE	0.951	-3.000	0.109	NA		0.428
15335	15336	b1213	b1214	ychQ	ychA	TRUE	0.978	4.000	0.195	NA		0.476
15336	15337	b1214	b1215	ychA	kdsA	TRUE	0.892	36.000	0.089	1.000		0.536
15339	15340	b1217	b1218	chaB	chaC	FALSE	0.502	158.000	0.140	NA		0.618
15343	15344	b1221	b1222	narL	narX	TRUE	0.995	-7.000	0.521	0.015	Y	0.458
15345	15346	b1223	b1224	narK	narG	FALSE	0.205	516.000	0.000	1.000	N	0.831
15346	15347	b1224	b1225	narG	narH	TRUE	0.999	-3.000	0.471	0.001	Y	0.767
15347	15348	b1225	b1226	narH	narJ	TRUE	0.999	-3.000	0.588	0.005	Y	0.754
15348	15349	b1226	b1227	narJ	narI	TRUE	0.998	0.000	0.500	0.005	Y	0.544
1936445	15351	b4425	b1229	rttR	tpr	TRUE	0.685	-110.000	0.000	NA		NA
15351	1936446	b1229	b1230	tpr	tyrV	FALSE	0.232	68.000	0.000	NA		NA
1936446	1936447	b1230	b1231	tyrV	tyrT	FALSE	0.052	210.000	0.000	NA		NA
1936447	15352	b1231	b1232	tyrT	purU	FALSE	0.082	160.000	0.000	NA		NA
15352	15353	b1232	b1233	purU	ychJ	TRUE	0.907	50.000	0.200	NA		0.672
15354	15355	b1234	b1235	rssA	rssB	FALSE	0.491	92.000	0.048	1.000		0.493
15355	15356	b1235	b1236	rssB	galU	FALSE	0.056	202.000	0.235	1.000	N	0.129
1936448	15361	b4573	b1241	insZ	adhE	FALSE	0.006	124.000	0.000	NA		0.011
15362	15363	b1242	b1243	ychE	oppA	FALSE	0.001	738.000	0.000	NA	N	0.116
15363	15364	b1243	b1244	oppA	oppB	TRUE	0.910	86.000	0.151	0.063	Y	0.669
15364	15365	b1244	b1245	oppB	oppC	TRUE	0.998	15.000	0.870	0.063	Y	0.766
15365	1936449	b1245	b1246	oppC	oppD	TRUE	0.997	12.000	0.554	1.000	Y	0.683
1936449	15367	b1246	b1247	oppD	oppF	TRUE	0.998	-3.000	0.420	0.002	Y	0.612
15368	15369	b1248	b1249	b1248	cls	TRUE	0.873	35.000	0.231	NA		0.433
15370	15371	b1250	b1251	kch	yciI	FALSE	0.003	300.000	0.000	NA		0.206
15373	15374	b1253	b1254	yciA	yciB	FALSE	0.405	105.000	0.167	NA	N	0.422
15374	15375	b1254	b1255	yciB	yciC	TRUE	0.897	30.000	0.061	NA		0.530
15377	15378	b1257	b1258	yciE	yciF	TRUE	0.937	46.000	0.115	0.002		0.631
15378	15379	b1258	b1259	yciF	yciG	TRUE	0.711	86.000	0.000	NA		0.823
15379	15380	b1259	b1260	yciG	trpA	FALSE	0.006	381.000	0.000	NA		0.234
15380	15381	b1260	b1261	trpA	trpB	TRUE	0.999	0.000	0.947	0.001	Y	0.938
15381	15382	b1261	b1262	trpB	trpC	TRUE	0.998	12.000	0.221	0.001	Y	0.913
15382	15383	b1262	b1263	trpC	trpD	TRUE	0.998	4.000	0.293	1.000	Y	0.904
15383	15384	b1263	b1264	trpD	trpE	TRUE	0.997	0.000	0.010	0.001	Y	0.889
15384	15385	b1264	b1265	trpE	trpL	FALSE	0.270	92.000	0.023	NA		0.407
15386	15387	b1266	b1267	yciV	yciO	TRUE	0.960	-3.000	0.281	NA		0.382
15387	15388	b1267	b1268	yciO	yciQ	FALSE	0.340	28.000	0.000	NA		0.249
15388	15389	b1268	b1269	yciQ	rluB	FALSE	0.002	211.000	0.000	NA		-0.139
15390	15391	b1270	b1271	btuR	yciK	TRUE	0.962	-3.000	0.050	1.000	N	0.489
15394	15395	b1274	b1275	topA	cysB	FALSE	0.035	210.000	0.008	1.000	N	0.306
15395	1936456	b1275	b4522	cysB	yciX_1	FALSE	0.027	331.000	0.000	NA		NA
1936456	1936457	b4522	b4523	yciX_1	yciX	TRUE	0.978	3.000	0.556	NA		NA
1936457	15396	b4523	b1276	yciX	acnA	FALSE	0.001	373.000	0.000	NA		-0.118
15398	15399	b1278	b1279	pgpB	yciS	FALSE	0.057	149.000	0.143	NA		0.187
15399	15400	b1279	b1280	yciS	yciM	TRUE	0.988	7.000	0.576	NA		0.444
15400	15401	b1280	b1281	yciM	pyrF	FALSE	0.050	194.000	0.125	1.000	N	0.219
15401	15402	b1281	b1282	pyrF	yciH	TRUE	0.981	0.000	0.045	1.000	N	0.595
15403	15404	b1283	b1284	osmB	yciT	FALSE	0.002	269.000	0.000	NA		-0.206
15404	3446173	b1284	b4596	yciT	yciZ	TRUE	0.718	90.000	0.146	NA		0.672
3446173	15405	b4596	b1285	yciZ	gmr	FALSE	0.005	148.000	0.083	NA		-0.093
15406	15407	b1286	b1287	rnb	yciW	TRUE	0.651	68.000	0.105	NA		0.499
15407	15408	b1287	b1288	yciW	fabI	FALSE	0.005	144.000	0.057	NA		0.112
15408	15409	b1288	b1289	fabI	ycjD	FALSE	0.001	368.000	0.000	1.000		0.012
15409	15410	b1289	b1290	ycjD	sapF	FALSE	0.124	68.000	0.000	1.000		0.249
15410	15411	b1290	b1291	sapF	sapD	TRUE	0.999	2.000	0.684	0.015	Y	0.698
15411	15412	b1291	b1292	sapD	sapC	TRUE	0.996	0.000	0.667	1.000	Y	0.418
15412	15413	b1292	b1293	sapC	sapB	TRUE	0.990	-13.000	0.284	0.062	Y	0.475
15413	15414	b1293	b1294	sapB	sapA	TRUE	0.972	-3.000	0.264	0.062	N	0.366
15414	15415	b1294	b1295	sapA	ymjA	FALSE	0.009	313.000	0.000	NA		0.242
15415	15416	b1295	b1296	ymjA	ycjJ	FALSE	0.005	134.000	0.000	NA		0.079
15416	15417	b1296	b1297	ycjJ	b1297	FALSE	0.423	303.000	0.000	1.000	Y	0.628
15418	15419	b1298	b1299	ycjL	puuR	TRUE	0.955	27.000	0.046	1.000		0.795
15419	15420	b1299	b1300	puuR	puuC	FALSE	0.200	275.000	0.040	1.000	N	0.565
15420	15421	b1300	b1301	puuC	puuB	TRUE	0.997	2.000	0.500	0.035	N	0.750
15421	15422	b1301	b1302	puuB	puuE	TRUE	0.972	38.000	0.100	1.000	Y	0.754
15424	15425	b1304	b1305	pspA	pspB	TRUE	0.965	54.000	0.739	NA		0.871
15425	15426	b1305	b1306	pspB	pspC	TRUE	0.998	0.000	0.913	NA		0.907
15426	15427	b1306	b1307	pspC	pspD	TRUE	0.991	9.000	0.167	NA		0.881
15427	15428	b1307	b1308	pspD	pspE	TRUE	0.740	75.000	0.133	NA		0.620
15428	15429	b1308	b1309	pspE	ycjM	FALSE	0.002	213.000	0.000	1.000	N	0.120
15429	15430	b1309	b1310	ycjM	ycjN	TRUE	0.993	14.000	0.360	1.000	Y	0.528
15430	15431	b1310	b1311	ycjN	ycjO	TRUE	0.995	21.000	0.620	0.062	Y	0.545
15431	15432	b1311	b1312	ycjO	ycjP	TRUE	0.997	-13.000	0.805	0.062	Y	0.597
15432	15433	b1312	b1313	ycjP	ycjQ	TRUE	0.931	31.000	0.205	1.000	N	0.526
15433	15434	b1313	b1314	ycjQ	b1314	TRUE	0.919	19.000	0.261	NA	N	0.383
15434	15435	b1314	b1315	b1314	ycjS	TRUE	0.989	10.000	0.347	NA		0.562
15435	15436	b1315	b1316	ycjS	ycjT	TRUE	0.959	-3.000	0.000	1.000		0.477
15436	15437	b1316	b1317	ycjT	ycjU	TRUE	0.969	-3.000	0.000	1.000		0.533
15437	1936466	b1317	b4524	ycjU	ycjV	TRUE	0.944	14.000	0.000	NA		0.493
1936466	15439	b4524	b1319	ycjV	ompG	TRUE	0.886	45.000	0.000	NA		0.720
15441	15442	b1321	b1322	ycjX	ycjF	TRUE	0.994	-3.000	0.791	NA		0.577
15442	15443	b1322	b1323	ycjF	tyrR	FALSE	0.094	148.000	0.137	NA		0.245
15446	1936468	b1326	b4525	mpaA	ymjC	FALSE	0.490	127.000	0.000	NA		0.600
1936468	7497347	b4525	b4673	ymjC	ymjD	TRUE	0.858	6.000	0.000	NA		NA
7497347	15447	b4673	b1327	ymjD	ycjY	TRUE	0.865	0.000	0.000	NA		NA
15448	15449	b1328	b1329	ycjZ	b1329	FALSE	0.036	337.000	0.000	1.000	N	0.353
15451	15452	b1331	b1332	insH-4	ynaJ	FALSE	0.002	273.000	0.000	NA		0.081
15453	15454	b1333	b1334	uspE	fnr	TRUE	0.843	152.000	0.619	1.000	Y	0.521
15454	15455	b1334	b1335	fnr	ogt	FALSE	0.305	195.000	0.000	1.000	N	0.572
15455	15456	b1335	b1336	ogt	ydaH	TRUE	0.888	11.000	0.000	NA	N	0.383
15456	15457	b1336	b1337	ydaH	abgB	TRUE	0.898	37.000	0.080	NA		0.594
15457	15458	b1337	b1338	abgB	ydaJ	TRUE	0.991	0.000	0.128	0.004		0.589
15462	10279117	b1342	b4699	ydaN	fnrS	FALSE	0.151	96.000	0.000	NA		NA
10279117	15463	b4699	b1343	fnrS	dbpA	FALSE	0.038	261.000	0.000	NA		NA
15464	15465	b1344	b1345	ydaO	intR	FALSE	0.115	52.000	0.012	NA	N	0.262
15465	15466	b1345	b1346	intR	ydaQ	TRUE	0.988	2.000	0.400	NA		0.478
15466	15467	b1346	b1347	ydaQ	ydaC	FALSE	0.162	79.000	0.000	NA		0.315
15467	15468	b1347	b1348	ydaC	lar	TRUE	0.852	-7.000	0.000	NA		0.379
15468	15469	b1348	b1349	lar	recT	FALSE	0.197	57.000	0.000	NA		0.279
15469	15470	b1349	b1350	recT	recE	TRUE	0.928	-7.000	0.000	NA		0.460
15470	15471	b1350	b1351	recE	racC	FALSE	0.276	102.000	0.000	NA		0.413
15471	1936475	b1351	b4526	racC	ydaE	TRUE	0.793	75.000	0.286	NA		0.589
1936475	15473	b4526	b1352	ydaE	ydaD	TRUE	0.984	0.000	0.000	NA		0.679
15476	15477	b4527	b1355	b1354	b1355	TRUE	0.981	11.000	0.000	NA		0.733
15477	15478	b1355	b1356	b1355	racR	FALSE	0.026	309.000	0.000	NA		0.317
15479	15480	b1357	b1358	ydaS	ydaT	TRUE	0.805	23.000	0.000	NA		0.403
15480	15481	b1358	b1359	ydaT	ydaU	TRUE	0.945	13.000	0.000	NA		0.482
15481	15482	b1359	b1360	ydaU	ydaV	TRUE	0.824	7.000	0.000	NA		0.310
15482	15483	b1360	b1361	ydaV	ydaW	TRUE	0.779	-28.000	0.000	NA		0.371
15483	15484	b1361	b1362	ydaW	rzpR	TRUE	0.967	1.000	0.000	NA		0.491
15484	1936482	b1362	b4528	rzpR	rzoR	TRUE	0.681	-244.000	0.000	NA		NA
1936482	15485	b4528	b1363	rzoR	trkG	FALSE	0.068	197.000	0.000	1.000		NA
15485	15487	b1363	b1365	trkG	ynaK	FALSE	0.060	138.000	0.000	1.000		0.262
15487	15488	b1365	b1366	ynaK	ydaY	TRUE	0.960	-10.000	0.000	NA		0.606
15488	15490	b1366	b1368	ydaY	ynaA	FALSE	0.065	372.000	0.000	NA		0.433
15490	1936483	b1368	b4570	ynaA	lomR	TRUE	0.983	3.000	0.000	NA		0.666
15494	15495	b1372	b1373	b1372	tfaR	TRUE	0.981	0.000	0.000	NA		0.620
15496	15497	b1374	b1375	pinR	ynaE	FALSE	0.165	317.000	0.000	NA		0.568
15497	3446175	b1375	b4638	ynaE	ttcC	FALSE	0.018	701.000	0.000	NA		NA
3446175	15498	b4638	b1376	ttcC	ynaF	FALSE	0.039	177.000	0.000	NA		0.280
15498	15499	b1376	b1377	ynaF	ompN	FALSE	0.052	141.000	0.000	1.000	N	0.262
15501	15502	b1379	b1380	hslJ	ldhA	FALSE	0.508	111.000	0.000	NA	N	0.592
15503	15504	b1381	b1382	ydbH	ynbE	FALSE	0.187	-3.000	0.000	NA		0.159
15504	15505	b1382	b1383	ynbE	ydbL	TRUE	0.991	8.000	0.726	NA		0.453
15508	15509	b1386	b1387	tynA	maoC	FALSE	0.043	248.000	0.000	1.000	N	0.326
15510	15511	b1388	b1389	paaA	paaB	TRUE	0.987	12.000	0.920	NA		0.409
15511	15512	b1389	b1390	paaB	paaC	TRUE	0.996	9.000	0.943	NA		0.659
15512	15513	b1390	b1391	paaC	paaD	TRUE	0.993	15.000	0.919	NA		0.598
15513	15514	b1391	b1392	paaD	paaE	TRUE	0.976	8.000	0.571	NA		0.328
15514	15515	b1392	b1393	paaE	paaF	TRUE	0.965	-3.000	0.093	1.000	N	0.473
15515	15516	b1393	b1394	paaF	paaG	TRUE	0.996	0.000	0.215	0.001	Y	0.465
15516	15517	b1394	b1395	paaG	paaH	TRUE	0.927	2.000	0.051	1.000	Y	0.083
15517	15518	b1395	b1396	paaH	paaI	FALSE	0.120	-10.000	0.013	NA	N	0.216
15518	15519	b1396	b1397	paaI	paaJ	TRUE	0.953	0.000	0.058	NA	N	0.438
15519	15520	b1397	b1398	paaJ	paaK	TRUE	0.953	27.000	0.293	1.000	N	0.518
15520	15521	b1398	b1399	paaK	paaX	FALSE	0.108	101.000	0.132	NA	N	0.220
15521	15522	b1399	b1400	paaX	paaY	TRUE	0.892	-18.000	0.118	NA		0.405
15524	15525	b1402	b1403	insD-2	insC	TRUE	0.990	-42.000	0.000	0.064	Y	0.809
15526	15528	b1404	b1406	insI-2	ydbC	FALSE	0.001	3712.000	0.000	1.000	N	0.041
15528	15529	b1406	b1407	ydbC	ydbD	FALSE	0.015	63.000	0.000	NA		0.123
15529	15530	b1407	b1408	ydbD	b1408	FALSE	0.053	171.000	0.000	NA		0.301
15530	15531	b1408	b1409	b1408	ynbB	TRUE	0.988	0.000	0.179	0.003		0.478
15531	15532	b1409	b1410	ynbB	ynbC	TRUE	0.830	16.000	0.000	NA		0.375
15532	15533	b1410	b1411	ynbC	ynbD	TRUE	0.988	14.000	0.285	NA	Y	0.469
15535	15536	b1413	b1414	hrpA	ydcF	FALSE	0.002	272.000	0.000	NA		0.042
15536	15537	b1414	b1415	ydcF	aldA	FALSE	0.003	197.000	0.040	NA		0.182
1936500	15541	b4428	b1420	hokB	mokB	TRUE	0.963	-109.000	0.000	NA		0.813
1936501	15542	b4429	b1421	sokB	trg	FALSE	0.026	296.000	0.000	NA		0.313
15544	15545	b1423	b1424	ydcJ	mdoD	FALSE	0.002	225.000	0.000	NA		-0.030
15545	15547	b1424	b1426	mdoD	ydcH	FALSE	0.005	140.000	0.026	NA		-0.098
15547	15548	b1426	b1427	ydcH	rimL	TRUE	0.625	63.000	0.026	NA		0.508
15550	15551	b1429	b1430	tehA	tehB	TRUE	0.977	-3.000	0.175	1.000		0.495
15551	15552	b1430	b1431	tehB	ydcL	FALSE	0.005	302.000	0.088	NA		0.161
15555	15556	b1434	b1435	ydcN	ydcP	FALSE	0.074	73.000	0.000	1.000		0.223
15558	15559	b4532	b1438	yncN	ydcQ	TRUE	0.867	46.000	0.143	NA		0.559
15559	15560	b1438	b1439	ydcQ	ydcR	FALSE	0.369	79.000	0.000	1.000		0.413
15560	15561	b1439	b1440	ydcR	ydcS	FALSE	0.064	245.000	0.000	1.000	Y	0.035
15561	15562	b1440	b1441	ydcS	ydcT	TRUE	0.998	18.000	0.609	0.061	Y	0.849
15562	15563	b1441	b1442	ydcT	ydcU	TRUE	0.999	1.000	0.643	0.061	Y	0.697
15563	15564	b1442	b1443	ydcU	ydcV	TRUE	0.998	-10.000	0.821	0.061	Y	0.642
15564	15565	b1443	b1444	ydcV	ydcW	TRUE	0.980	22.000	0.216	1.000	N	0.859
15566	15567	b1445	b1446	b1445	ydcY	FALSE	0.009	86.000	0.000	NA		0.197
15568	15569	b1447	b1448	ydcZ	yncA	TRUE	0.965	-3.000	0.070	NA		0.496
15570	15571	b1449	b1450	yncB	b1450	FALSE	0.190	198.000	0.000	1.000		0.456
15575	15576	b1454	b1455	yncG	yncH	FALSE	0.136	76.000	0.000	NA		0.291
15576	15577	b1455	b1456	yncH	rhsE	FALSE	0.015	750.000	0.000	NA		0.311
15577	15578	b1456	b1457	rhsE	ydcD	FALSE	0.294	-16.000	0.000	NA		0.220
15578	15580	b1457	b1459	ydcD	yncI	FALSE	0.171	182.000	0.000	NA		0.435
15580	15581	b1459	b1460	yncI	ydcC	FALSE	0.049	177.000	0.000	NA		0.300
15581	15582	b1460	b1461	ydcC	ydcE	FALSE	0.008	100.000	0.000	1.000		-0.136
15585	15586	b1464	b1465	yddE	narV	FALSE	0.010	79.000	0.000	1.000		0.062
15586	15587	b1465	b1466	narV	narW	TRUE	0.998	-3.000	0.429	0.004	Y	0.631
15587	15588	b1466	b1467	narW	narY	TRUE	0.999	0.000	0.714	0.004	Y	0.732
15588	15589	b1467	b1468	narY	narZ	TRUE	0.999	-3.000	0.833	0.001	Y	0.638
15589	15590	b1468	b1469	narZ	narU	TRUE	0.837	82.000	0.556	1.000	N	0.557
15590	15591	b1469	b1470	narU	yddJ	FALSE	0.022	324.000	0.000	NA		0.310
15591	15592	b1470	b1471	yddJ	yddK	TRUE	0.877	39.000	0.000	NA		0.604
15592	15593	b1471	b1472	yddK	yddL	FALSE	0.221	3.000	0.000	NA		0.073
15593	15594	b1472	b1473	yddL	yddG	FALSE	0.002	260.000	0.000	NA		-0.038
15595	15596	b1474	b1475	fdnG	fdnH	TRUE	0.997	13.000	0.429	0.002	Y	0.614
15596	15597	b1475	b1476	fdnH	fdnI	TRUE	0.996	-7.000	0.333	0.002	Y	0.554
15598	15599	b1477	b1478	yddM	adhP	FALSE	0.400	146.000	0.000	1.000		0.538
15599	15600	b1478	b1479	adhP	sfcA	FALSE	0.005	134.000	0.000	1.000		-0.233
15600	15601	b1479	b1480	sfcA	sra	FALSE	0.237	157.000	0.750	1.000		-0.157
15601	15602	b1480	b1481	sra	b1481	TRUE	0.821	102.000	0.571	NA		0.601
15604	15605	b1483	b1484	ddpF	ddpD	TRUE	0.991	-7.000	0.219	0.002	Y	0.444
15605	15606	b1484	b1485	ddpD	ddpC	TRUE	0.996	-3.000	0.333	1.000	Y	0.602
15606	15607	b1485	b1486	ddpC	ddpB	TRUE	0.995	-3.000	0.143	0.061	Y	0.587
15607	15608	b1486	b1487	ddpB	ddpA	TRUE	0.994	2.000	0.091	0.061	Y	0.501
15608	15609	b1487	b1488	ddpA	ddpX	TRUE	0.980	14.000	0.091	1.000	N	0.724
15609	15610	b1488	b1489	ddpX	b1489	FALSE	0.038	258.000	0.000	1.000	N	0.318
15610	15611	b1489	b1490	b1489	yddV	TRUE	0.979	25.000	0.130	0.005	Y	0.455
15611	15612	b1490	b1491	yddV	yddW	FALSE	0.010	364.000	0.000	1.000		0.240
15612	15613	b1491	b1492	yddW	gadC	FALSE	0.017	131.000	0.000	1.000		0.197
15613	15614	b1492	b1493	gadC	gadB	TRUE	0.795	156.000	0.103	1.000	Y	0.913
15614	15615	b1493	b1494	gadB	pqqL	FALSE	0.001	362.000	0.000	1.000		0.148
15615	15616	b1494	b1495	pqqL	yddB	TRUE	0.920	45.000	0.167	1.000		0.680
15616	15617	b1495	b1496	yddB	yddA	TRUE	0.817	38.000	0.000	0.072		0.426
15617	15618	b1496	b1497	yddA	b1497	FALSE	0.030	291.000	0.000	1.000		0.304
15618	15619	b1497	b1498	b1497	b1498	TRUE	0.869	52.000	0.600	1.000		0.402
15619	15620	b1498	b1499	b1498	ydeO	FALSE	0.021	402.000	0.000	1.000	N	0.315
15620	5752727	b1499	b1500	ydeO	yneN	FALSE	0.011	75.000	0.000	NA		0.025
5752727	15622	b1500	b1501	yneN	YdeP	FALSE	0.002	248.000	0.000	NA		-0.039
15622	15623	b1501	b1502	YdeP	ydeQ	FALSE	0.017	334.000	0.000	1.000		0.272
15623	15624	b1502	b1503	ydeQ	ydeR	TRUE	0.756	59.000	0.000	0.009		0.472
15624	15625	b1503	b1504	ydeR	ydeS	TRUE	0.993	13.000	0.000	0.009	Y	0.599
15625	15626	b1504	b1505	ydeS	ydeT	TRUE	0.970	14.000	0.000	NA		0.647
15626	15627	b1505	b1506	ydeT	yneL	FALSE	0.093	255.000	0.000	NA		0.423
15627	15628	b1506	b1507	yneL	hipA	FALSE	0.013	318.000	0.000	NA		0.266
15628	15629	b1507	b1508	hipA	hipB	TRUE	0.983	0.000	0.675	NA		0.344
15629	7497349	b1508	b4696	hipB	yneO	FALSE	0.046	223.000	0.000	NA		NA
7497349	15632	b4696	b1511	yneO	ydeV	FALSE	0.020	531.000	0.000	NA		NA
15632	15633	b1511	b1512	ydeV	lsrR	TRUE	0.743	79.000	0.000	1.000	N	0.819
15634	15635	b1513	b1514	lsrA	lsrC	TRUE	0.998	-6.000	0.818	1.000	Y	0.693
15635	15636	b1514	b1515	lsrC	lsrD	TRUE	0.999	0.000	0.788	0.061	Y	0.710
15636	15637	b1515	b1516	lsrD	lsrB	TRUE	0.998	12.000	0.844	NA	Y	0.834
15637	15638	b1516	b1517	lsrB	lsrF	TRUE	0.981	27.000	0.000	NA	Y	0.834
15638	15639	b1517	b1518	lsrF	lsrG	TRUE	0.960	24.000	0.000	1.000		0.777
15639	15640	b1518	b1519	lsrG	tam	TRUE	0.838	57.000	0.000	1.000		0.729
15641	1936527	b1520	b1521	b1520	uxaB	FALSE	0.002	207.000	0.143	NA		-0.222
1936527	15643	b1521	b1522	uxaB	yneF	FALSE	0.056	227.000	0.000	1.000	N	0.342
15643	15644	b1522	b1523	yneF	yneG	FALSE	0.019	112.000	0.098	NA		0.142
15644	15645	b1523	b1524	yneG	yneH	TRUE	0.980	0.000	0.037	NA		0.601
15645	15646	b1524	b1525	yneH	b1525	FALSE	0.015	64.000	0.000	1.000	N	0.110
15647	15648	b1526	b1527	yneJ	yneK	FALSE	0.270	78.000	0.000	NA		0.377
15648	15649	b1527	b1528	yneK	ydeA	FALSE	0.046	150.000	0.000	NA		0.273
15651	15652	b1530	b1531	marR	marA	TRUE	0.997	20.000	0.667	0.048	Y	0.657
15652	15653	b1531	b1532	marA	marB	TRUE	0.894	32.000	0.000	NA		0.569
15655	3446178	b1534	b4599	ydeE	yneM	FALSE	0.006	127.000	0.077	NA		0.137
10279118	15656	b4698	b1535	mgrR	ydeH	FALSE	0.420	46.000	0.000	NA		NA
15656	15658	b1535	b1536	ydeH	ydeI	FALSE	0.002	255.000	0.000	NA		0.203
15661	15662	b1539	b1540	ydfG	ydfH	FALSE	0.009	89.000	0.000	1.000		0.008
